SIGLA,nome curto,nome longo,definição,cat,short name,long name,definition
homem55a59,População masculina de 55 a 59 anos,População masculina de 55 a 59 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population 55-59 years old,Male population 55-59 years old,Population in this age group and male
homem5a9,População masculina de 5 a 9 anos,População masculina de 5 a 9 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population from 5 to 9 years old,Male population from 5 to 9 years old,Population in this age group and male
homem60a64,População masculina de 60 a 64 anos,População masculina de 60 a 64 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population aged 60-64,Male population 60-64 years old,Population in this age group and male
homem65a69,População masculina de 65 a 69 anos,População masculina de 65 a 69 anos de idade,População nesta faixa etária e do sexo masculino,pop,Male population 65-69 years old,Male population 65-69 years old,Population in this age group and male
homem70a74,População masculina de 70 a 74 anos,População masculina de 70 a 74 anos de idade,População nesta faixa etária e do sexo masculino,pop,The male population of 70 to 74 years,Male population from 70 to 74 years old,Population in this age group and male
homem75a79,População masculina de 75 a 79 anos,População masculina de 75 a 79 anos de idade,População nesta faixa etária e do sexo masculino,pop,The male population of 75 to 79 years,Male population aged 75 to 79 years,Population in this age group and male
homemtot,População residente masculina,População residente masculina,População total do sexo masculino,pop,Male resident population,Male resident population,Total male population
homens80,População masculina com 80 anos e mais,População masculina com 80 anos e mais de idade,População nesta faixa etária e do sexo masculino,pop,Male population with 80 years and over,Male population aged 80 years and over,Population in this age group and male
mulh0a4,População feminina de 0 a 4 anos,População feminina de 0 a 4 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population from 0 to 4 years,Female population 0 to 4 years old,Population in this age group and female
mulh10a14,População feminina de 10 a 14 anos,População feminina de 10 a 14 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 10 to 14 years,Female population 10 to 14 years old,Population in this age group and female
mulh15a19,População feminina de 15 a 19 anos,População feminina de 15 a 19 anos de idade,População nesta faixa etária e do sexo feminino,pop,Female population 15 to 19 years,Female population 15 to 19 years old,Population in this age group and female
mulh20a24,População feminina de 20 a 24 anos,População feminina de 20 a 24 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 20 to 24 years,Female population 20 to 24 years of age,Population in this age group and female
mulh25a29,População feminina de 25 a 29 anos,População feminina de 25 a 29 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 25 to 29 years,The female population of 25 to 29 years of age,Population in this age group and female
mulh30a34,População feminina de 30 a 34 anos,População feminina de 30 a 34 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 30 to 34 years,The female population of 30 to 34 years of age,Population in this age group and female
mulh35a39,População feminina de 35 a 39 anos,População feminina de 35 a 39 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 35 to 39 years,The female population of 35 to 39 years of age,Population in this age group and female
mulh40a44,População feminina de 40 a 44 anos,População feminina de 40 a 44 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 40 to 44 years,The female population of 40 to 44 years of age,Population in this age group and female
mulh45a49,População feminina de 45 a 49 anos,População feminina de 45 a 49 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 45 to 49 years,The female population of 45 to 49 years of age,Population in this age group and female
mulh50a54,População feminina de 50 a 54 anos,População feminina de 50 a 54 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 50 to 54 years,The female population of 50 to 54 years of age,Population in this age group and female
mulh55a59,População feminina de 55 a 59 anos,População feminina de 55 a 59 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 55 to 59 years,The female population of 55 to 59 years of age,Population in this age group and female
mulh5a9,População feminina de 5 a 9 anos,População feminina de 5 a 9 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 5 to 9 years,The female population of 5 to 9 years of age,Population in this age group and female
mulh60a64,População feminina de 60 a 64 anos,População feminina de 60 a 64 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 60 to 64 years,The female population of 60 to 64 years of age,Population in this age group and female
mulh65a69,População feminina de 65 a 69 anos,População feminina de 65 a 69 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 65 to 69 years,The female population of 65 to 69 years of age,Population in this age group and female
mulh70a74,População feminina de 70 a 74 anos,População feminina de 70 a 74 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 70 to 74 years,The female population of 70 to 74 years of age,Population in this age group and female
mulh75a79,População feminina de 75 a 79 anos,População feminina de 75 a 79 anos de idade,População nesta faixa etária e do sexo feminino,pop,The female population of 75 to 79 years,The female population of 75 to 79 years of age,Population in this age group and female
mulher80,População feminina com 80 anos e mais,População feminina com 80 anos e mais de idade,População nesta faixa etária e do sexo feminino,pop,The female population with 80 years and over,The female population with 80 years and older,Population in this age group and female
mulhertot,População residente feminina,População residente feminina,População total do sexo feminino,pop,Female resident population,Female resident population,Total female population
pea,PEA - 10 anos ou mais,População economicamente ativa de 10 anos ou mais de idade,"População economicamente ativa. Corresponde ao número de pessoas nessa faixa etária que, na semana de referência do Censo, encontravam-se ocupadas no mercado de trabalho ou que, encontrando-se desocupadas, tinham procurado trabalho no mês anterior à data da pesquisa. ",pop,Pea-10 years or more,Economically active population of 10 years old or older,"Economically active population. It corresponds to the number of people in this age group who, in the reference week of the Census, were either employed in the labor market or who, having been unemployed, had sought work in the month prior to the date of the survey."
pea1014,PEA - 10 a 14 anos,População economicamente ativa de 10 a 14 anos de idade,"População economicamente ativa. Corresponde ao número de pessoas nessa faixa etária que, na semana de referência do Censo, encontravam-se ocupadas no mercado de trabalho ou que, encontrando-se desocupadas, tinham procurado trabalho no mês anterior à data da pesquisa. ",pop,Pea-14 years 10 to,Economically active population from 10 to 14 years of age,"Economically active population. It corresponds to the number of people in this age group who, in the reference week of the Census, were either employed in the labor market or who, having been unemployed, had sought work in the month prior to the date of the survey."
pea1517,PEA - 15 a 17 anos,População economicamente ativa de 15 a 17 anos de idade,"População economicamente ativa. Corresponde ao número de pessoas nessa faixa etária que, na semana de referência do Censo, encontravam-se ocupadas no mercado de trabalho ou que, encontrando-se desocupadas, tinham procurado trabalho no mês anterior à data da pesquisa. ",pop,15 to 17 years,Economically active population of 15 to 17 years of age,"Economically active population. It corresponds to the number of people in this age group who, in the reference week of the Census, were either employed in the labor market or who, having been unemployed, had sought work in the month prior to the date of the survey."
pea18m,PEA - 18 anos ou mais,População economicamente ativa de 18 anos ou mais de idade,"População economicamente ativa. Corresponde ao número de pessoas nessa faixa etária que, na semana de referência do Censo, encontravam-se ocupadas no mercado de trabalho ou que, encontrando-se desocupadas, tinham procurado trabalho no mês anterior à data da pesquisa. ",pop,Pea-18 years or older,Economically active population of 18 years or older,"Economically active population. It corresponds to the number of people in this age group who, in the reference week of the Census, were either employed in the labor market or who, having been unemployed, had sought work in the month prior to the date of the survey."
peso1,População de até 1 ano,População de até 1 ano de idade,População residente nessa faixa etária,pop,Population of up to 1 year,Population of up to 1 year of age,Resident population in this age group
peso1114,População de 11 a 14 anos,População de 11 a 14 anos de idade,População residente nessa faixa etária,pop,Population of 11 to 14 years,Population of 11 to 14 years of age,Resident population in this age group
peso1113,População de 11 a 13 anos,População de 11 a 13 anos de idade,População residente nessa faixa etária,pop,Population of 11 to 13 years,Population of 11 to 13 years of age,Resident population in this age group
peso1214,População de 12 a 14 anos,População de 12 a 14 anos de idade,População residente nessa faixa etária,pop,Population of 12 to 14 years,Population of 12 to 14 years of age,Resident population in this age group
peso13,População de 1 a 3 anos,População de 1 a 3 anos de idade,População residente nessa faixa etária,pop,Population of 1 to 3 years,Population of 1 to 3 years of age,Resident population in this age group
peso15,População de 15 anos ou mais,População de 15 anos ou mais de idade,População residente nessa faixa etária,pop,Population of 15 years old or more,Population of 15 years old or older,Resident population in this age group
peso1517,População de 15 a 17 anos,População de 15 a 17 anos de idade,População residente nessa faixa etária,pop,Population 15 to 17 years old,Population of 15 to 17 years of age,Resident population in this age group
peso1524,População de 15 a 24 anos,População de 15 a 24 anos de idade,População residente nessa faixa etária,pop,Population of 15 to 24 years,Population of 15 to 24 years of age,Resident population in this age group
peso1618,População de 16 a 18 anos,População de 16 a 18 anos de idade,População residente nessa faixa etária,pop,Population of 16 to 18 years,Population of 16 to 18 years of age,Resident population in this age group
peso18,População de 18 anos ou mais,População de 18 anos ou mais de idade,População residente nessa faixa etária,pop,Population of 18 years and over,Population of 18 years or older,Resident population in this age group
peso1820,População de 18 a 20 anos,População de 18 a 20 anos de idade,População residente nessa faixa etária,pop,Population of 18 to 20 years,Population of 18 to 20 years of age,Resident population in this age group
peso1824,População de 18 a 24 anos,População de 18 a 24 anos de idade,População residente nessa faixa etária,pop,Population of 18 to 24 years,Population of 18 to 24 years of age,Resident population in this age group
peso1921,População de 19 a 21 anos,População de 19 a 21 anos de idade,População residente nessa faixa etária,pop,Population of 19 to 21 years,Population of 19 to 21 years of age,Resident population in this age group
peso25,População de 25 anos ou mais,População de 25 anos ou mais de idade,População residente nessa faixa etária,pop,Population of 25 years or more,Population of 25 years or more of age,Resident population in this age group
peso4,População de 4 anos,População de 4 anos de idade,População residente nessa faixa etária,pop,Population of 4 years,Population of 4 years of age,Resident population in this age group
peso5,População de 5 anos,População de 5 anos de idade,População residente nessa faixa etária,pop,Population of 5 years,Population of 5 years of age,Resident population in this age group
peso6,População de 6 anos,População de 6 anos de idade,População residente nessa faixa etária,pop,Population of 6 years,Population of 6 years of age,Resident population in this age group
peso610,População de 6 a 10 anos,População de 6 a 10 anos de idade,População residente nessa faixa etária,pop,Population of 6 to 10 years,Population of 6 to 10 years old,Resident population in this age group
peso617,População de 6 a 17 anos,População de 6 a 17 anos de idade,População residente nessa faixa etária,pop,Population of 6 to 17 years,Population of 6 to 17 years of age,Resident population in this age group
peso65,População de 65 anos ou mais,População de 65 anos ou mais de idade,População residente nessa faixa etária,pop,Population of 65 years or more,Population of 65 years or older,Resident population in this age group
pesom1014,Mulheres de 10 a 14 anos,Mulheres de 12 a 14 anos de idade,População residente nessa faixa etária e do sexo feminino,pop,10 to 14 years old women,Women from 12 to 14 years of age,Resident population in this age group and female
pesom1517,Mulheres de 15 a 17 anos,Mulheres de 15 a 17 anos de idade,População residente nessa faixa etária e do sexo feminino,pop,Women of 15 to 17 years,Women of 15 to 17 years of age,Resident population in this age group and female
pesom15m,Mulheres de 15 anos ou mais,Mulheres de 15 anos ou mais de idade,População residente nessa faixa etária e do sexo feminino,pop,Women of 15 years or more,Women 15 years or older,Resident population in this age group and female
pesom25m,Mulheres de 25 anos ou mais,Mulheres de 25 anos ou mais de idade,População residente nessa faixa etária e do sexo feminino,pop,Women of 25 years or more,Women of 25 years or more of age,Resident population in this age group and female
pesorur,População rural,População rural,População residente na área rural,pop,Rural population,Rural population,Population residing in the rural area
pesotot,População total,População total,População residente total,pop,Total population,Total population,Total resident population
pesourb,População urbana,População urbana,População residente na área urbana,pop,Urban population,Urban population,Population living in urban areas
pia,População de 10 anos ou mais,População de 10 anos ou mais de idade,População residente nessa faixa etária,pop,Population of 10 years and over,Population of 10 years old or older,Resident population in this age group
pia1014,População de 10 a 14 anos,População de 10  a 14 anos de idade,População residente nessa faixa etária,pop,Population from 10 to 14 years old,Population of 10 to 14 years of age,Resident population in this age group
pia1517,População de 15 a 17 anos,População em idade ativa 15 a 17 anos,População residente nessa faixa etária,pop,Population 15 to 17 years old,Active age population 15 to 17 years,Resident population in this age group
pia18m,População de 18 anos ou mais,População de 18 anos ou mais em idade ativa,População residente nessa faixa etária,pop,Population of 18 years and over,Population of 18 years or more in active age,Resident population in this age group
pop,População total em domicílios particulares permanentes,População total que reside em domicílios particulares permanentes,"População residente em domicílios particulares permanentes. Exclui os residentes em domicílios coletivos, como pensões, hotéis, prisões, quartéis, hospitais. ",pop,Total population in permanent private households,The total population residing in private permanent homes,"Population residing in permanent private households. Excludes residents in collective households, such as pensions, hotels, prisons, barracks, hospitals."
popt,"População total em domicílios particulares permanentes, exceto com renda nula","População total que reside em domicílios particulares permanentes, exceto os com renda nula","Refere-se à população residente em domicílios particulares permanentes, excetuando-se aqueles com renda nula. População de referência do Índice de Theil-L.",pop,"Total population in permanent private households, except with no income","The total population residing in private households, except those with null income","Refers to the population residing in permanent private households, except those with zero income. Reference Population of Theil-L Index."
i_escolaridade,Subíndice de escolaridade - IDHM Educação,Subíndice de escolaridade fundamental da população adulta - IDHM Educação,"Subíndice selecionado para compor o IDHMEducação, representando o nível de escolaridade da população adulta. É obtido pelo indicador % de jovens e adultos com 18 anos ou mais com o fundamental completo.",index,Education Subscript - HDI Education,Sub-index of fundamental education of the adult population-IDHM Education,"Sub-index selected to compose the HDI-education, representing the level of education of the adult population. It is obtained by the indicator% of young people and adults with 18 years or more with the complete fundamental."
i_freq_prop,Subíndice de frequência escolar - IDHM Educação,Subíndice de frequência escolar da população jovem - IDHM Educação,"Subíndice selecionado para compor o IDHMEducação, representando a frequência de crianças e jovens à escola em  séries adequadas à sua idade.  É obtido através da média aritmética simples de 4  indicadores:  % de crianças de 5 a 6 anos na escola, % de  crianças de 11 a 13 anos no 2º ciclo do fundamental, % de jovens de 15 a 17 anos com o fundamental completo e % de jovens de 18 a 20 anos com o médio completo. ",index,School attendance sub index - HDI Education,Sub-index of school attendance of young people-IDHM Education,"Subindex selected to compose the HDIHducation, representing the attendance of children and young people to school in series appropriate to their age. It is obtained through the simple arithmetic mean of 4 indicators:% of children from 5 to 6 years old in school,% of children from 11 to 13 years old in the 2nd cycle of the fundamental,% of youngsters from 15 to 17 years old with complete fundamental and% of young people from 18 to 20 years old with the complete middle."
idhm,IDHM,Índice de Desenvolvimento Humano Municipal,"Índice de Desenvolvimento Humano Municipal. Média geométrica dos índices das dimensões Renda, Educação e Longevidade, com pesos iguais.",index,MHDI,Municipal human development index.,"Municipal human development index. Geometric mean of indices of the dimensions income, education and longevity, with equal weights."
idhm_e,IDHM Educação,Índice de Desenvolvimento Humano Municipal - Dimensão Educação,"Índice sintético da dimensão Educação que é um dos 3 componentes do IDHM. É obtido através da média geométrica do subíndice de frequência de crianças e jovens à escola, com peso de 2/3, e do subíndice de escolaridade da população adulta, com peso de 1/3.",index,EDUCATION,Municipal human development index-Education Dimension,"Synthetic index of the dimension that Education is one of the 3 components of IDHM. Is obtained via the geometric mean of the sub-index of frequency of children and young people at school, with weight of 2/3, and the sub-index of education of the adult population, with 1/3 weight."
idhm_l,IDHM Longevidade,Índice de Desenvolvimento Humano Municipal  - Dimensão Longevidade,"Índice da dimensão Longevidade que é um dos 3 componentes do IDHM. É obtido a partir do indicador Esperança de vida ao nascer, através da fórmula: [(valor observado do indicador) - (valor mínimo)] / [(valor máximo) - (valor mínimo)], onde os valores mínimo e máximo são 25 e 85 anos, respectivamente. ",index,IDHM Longevity,Municipal human development index-dimension Longevity,"Dimension Longevity index that is one of the 3 components of IDHM. Is obtained from the indicator life expectancy at birth, by means of the formula: [(observed value of indicator)-(minimum value)]/[(maximum value)-(minimum value)], where the minimum and maximum values are 25 and 85 years respectively."
idhm_r,IDHM Renda,Índice de Desenvolvimento Humano Municipal - Dimensão Renda,"Índice da dimensão Renda que é um dos 3 componentes do IDHM. É obtido a partir do indicador Renda per capita, através da fórmula: [ln (valor observado do indicador) - ln (valor mínimo)] / [ln (valor máximo) - ln (valor mínimo)], onde os valores mínimo e máximo são R$ 8,00 e R$ 4.033,00 (a preços de agosto de 2010). ",index,IDHM Income,Municipal human development index-Income Dimension,"Index of the Income dimension which is one of the 3 components of IDHM. Is obtained from the Income per capita indicator through the formula: [ln (observed value of indicator)-ln (minimum value)]/[ln (maximum value)-ln (minimum value)], where the minimum and maximum values are R $8.00 and R $4,033.00 (August 2010 prices)."
